Name,Price,Rating
"Acer Swift X - 14.5"" Laptop Intel Core i7-13700H 1.80GHz 16GB RAM 1TB SSD W11H",$749.99,No rating
Dell Latitude 3390 13.3” Touch 2-in-1 Laptop Core i3 8GB 128GB SSD Windows 10,$159.99,No rating
Mint Linux Dell 3180 11.6 Celeron N3060 1.6 GHz 4GB 32 GB eMMC Laptop HD,$59.99,No rating
"HP 15.6"" Touchscreen Gaming Laptop AMD Ryzen 5 Radeon Graphics 16GB DDR5 1TB SSD",$399.99,No rating
"Samsung Chromebook 4 11.6"" Celeron 1.1GHz 4GB RAM 32GB SSD XE310XBA",$42.89,3.5 out of 5 stars.
Dell Precision 7740 17.3” Business Laptop Core i7 16GB RAM 256GB SSD Windows 11,$344.99,No rating
"Dell Latitude 5400 14"" FHD Laptop Intel i5-8365U 1.6GHz 16GB 256GB W10P",$184.99,5.0 out of 5 stars.
Dell Latitude 5501 Laptop Intel i7-9850H 16GB 512GB SSD 15.6-inch FHD Win 11 Pro,$364.99,No rating
"Dell 5500 15.6"" Touch Light Gaming Laptop Intel Core i5 4.10GHz 64GB RAM 4TB SSD",$266.00to$617.00,No rating
"Acer Aspire 3 - 15.6"" Touchscreen Laptop AMD Ryzen 5 7520U 2.80GHz 16GB 1TB W11H",$299.99,No rating
"Lenovo Thinkpad P15 Gen 2 15.6"" FHD intel i7-11850H 16GB 512GB SSD RTX A3000 6GB",$899.00,No rating
"~CD/DVD DRIVE~15.6"" Lenovo ThinkPad Laptop PC: Intel i5! 16GB RAM! 512GB SSD!",$194.99,No rating
"2021/2022 Dell XPS 9310 OLED i7-1185G7 16GB RAM 1TB SSD 13.4"" TOUCH Silver W11",$799.00,No rating
"Acer Nitro V - 15.6"" Laptop Intel Core i5-13420H 2.10GHz 8GB RAM 512GB SSD W11H",$599.99,No rating
"~CLEARANCE~ 14"" Dell Latitude Laptop PC: 16GB RAM! 1TB HDD! Windows 10! Webcam!",$179.99,No rating
Dell Latitude 5300 13.3” FHD Laptop PC Core i5 8GB RAM 256GB SSD Windows 11 WiFi,$189.99,No rating
"Acer Swift Edge - 16"" Laptop AMD Ryzen 7 7735U 2.7GHz 16GB RAM 1TB SSD W11H",$519.99,No rating
Panasonic Toughbook CF19 Core i5 2520M 2.5GHz 8GB RAM,$82.00,No rating
"Lenovo IdeaPad 5-15IIL05 15.6"" Laptop i5-1035G1, 8GB RAM, 475GB NVMe",$160.00,No rating
CHUWI Laptop 14'' HD Intel Celeron N4000 8GB 256GB SSD Webcam Windows 11 H,$152.99,No rating
HP COMPAQ 6735s Win 10 AbleWord 4GB  RAM 16GB SSD Webcam! DVDRW Wi-Fi,$24.99,No rating
"Acer Nitro V - 15.6"" Laptop Intel Core i7-13620H 2.40GHz 16GB RAM 512GB SSD W11H",$824.99,No rating
~OVERSTOCK~ 15.6' Dell Latitude Laptop: Intel i5 Quad Core! 16GB RAM 512GB SSD!,$259.99,No rating
"🔥NEW Asus Vivobook 15.6"" TouchScreen Laptop Intel i7-1255U 16GB RAM 512GB SSD",$538.95,5.0 out of 5 stars.
"New! Lenovo ThinkPad T14 Gen 3 14"" Laptop 256GB / 16GB / Ryzen 5 / Radeon / WNTY",$265.00,No rating
HP 15.6’’ RED + Silver Intel Pentium 3.7GHz Turbo 128GB SSD 4GB Windows 11 WiFi,$189.99,No rating
"Lenovo ThinkPad X1 Carbon Gen 9 14"" WUXGA Touch i5-1145G7 32GB 256GB FPR W11P",$549.00,No rating
HP 14 Laptop (Ryzen 5 5500U/16GB/AMD Radeon Graphic/500GB SSD/FHD IPS Display),$289.99,No rating
HP 17.3 HD+ TouchScreen Laptop Intel N4120 QuadCore 2.60GHz 128GB SSD Windows 11,$287.70to$297.70,No rating
"~BULK DISCOUNT~ 2 x 14"" Dell Latitude Laptop: 8GB RAM! 500GB HDD! Windows 10!",$299.95,No rating
"15.6"" Dell Latitude E6520 i5 Dual Core PC Laptop: 16GB Ram 512GB SSD, Windows 10",$189.95,No rating
"14"" HP EliteBook Laptop PC: Intel i5! 8GB RAM! 256GB SSD! Windows 10 Pro!",$164.99,No rating
"ASUS VivoBook S5402ZA-IS74 Intel Core i7-12700H 12GB RAM 512GB SSD 14.5"" W11H",$589.99,5.0 out of 5 stars.
"2024 Acer Aspire Laptop 15.6"" FHD AMD Ryzen 7  Upto 32GB RAM &2TB SSD Win 11 Pro",$479.00to$649.00,No rating
"HP EliteBook 850 G5 15.6"" 64GB RAM 4TB SSD Intel Quad Core i7 4.20GHz Win11 Pro",$332.00to$683.00,No rating
Lenovo ThinkPad T490s 14 inch 1.8GHz i7-8565U 16GB RAM 512GB SSD - Win 10P,$249.99,No rating
"NEW Lenovo 14"" Full HD Intel i7-1255U 16GB 512GB SSD Windows 11 Pro Laptop",$499.99,No rating
"~OVERSTOCK ITEM~ 15.6"" HP ProBook i5 Laptop PC: 16GB RAM 512GB SSD Windows 11",$269.99,No rating
"HP ProBook 430 G6 13.3"" Laptop PC Core i5 16GB RAM 240GB SSD Windows 11 WiFi",$209.99,No rating
"~OVERSTOCK~ 15.6"" Lenovo ThinkPad Laptop: Intel i5! 8GB RAM! 256GB SSD! Win 10!",$169.99,No rating
"ASUS Vivobook F1502VA-SB96 Intel Core i9-13900H 16GB 1TB SSD 15.6"" Win 11 Home",$699.99,No rating
Dell Latitude 5414 i5-6300U Touchscreen 16GB 256 SSD Webcam Win 11,$199.00to$258.00,No rating
"2024 Lenovo Ideapad Laptop 15.6"" FHD Touch Intel i5 16GB RAM & 512GB Win 11 Pro",$499.00,No rating
